i,Time,Data
831,16.62,65460.0
832,16.64,65476.0
833,16.66,65480.0
834,16.68,65480.0
835,16.7,66.0
836,16.72,62.0
837,16.74,61.0
838,16.76,60.0
839,16.78,65476.0
840,16.8,64.0
841,16.82,63.0
842,16.84,61.0
843,16.86,27460.0
844,16.88,65480.0
845,16.9,65472.0
846,16.92,66.0
847,16.94,60.0
848,16.96,65472.0
849,16.98,65480.0
850,17.0,65480.0
851,17.02,65472.0
852,17.04,60.0
853,17.06,65472.0
854,17.08,65480.0
855,17.1,65480.0
856,17.12,65.0
857,17.14,60.0
858,17.16,60.0
859,17.18,65472.0
860,17.2,65472.0
861,17.22,64.0
862,17.24,62.0
863,17.26,60.0
864,17.28,65472.0
865,17.3,65472.0
866,17.32,64.0
867,17.34,61.0
868,17.36,65460.0
869,17.38,65484.0
870,17.4,65488.0
871,17.42,11489.0
872,17.44,60.0
873,17.46,59.0
874,17.48,65480.0
875,17.5,65472.0
876,17.52,63.0
877,17.54,61.0
878,17.56,60.0
879,17.58,65472.0
880,17.6,65472.0
881,17.62,65.0
882,17.64,62.0
883,17.66,60.0
884,17.68,65472.0
885,17.7,65476.0
886,17.72,63.0
887,17.74,61.0
888,17.76,61.0
889,17.78,65472.0
890,17.8,65472.0
891,17.82,65.0
892,17.84,63.0
893,17.86,60.0
894,17.88,65476.0
895,17.9,65472.0
896,17.92,68.0
897,17.94,62.0
898,17.96,61.0
899,17.98,65472.0
900,18.0,65472.0
901,18.02,68.0
902,18.04,60.0
903,18.06,65472.0
904,18.08,65484.0
905,18.1,65476.0
906,18.12,67.0
907,18.14,60.0
908,18.16,61.0
909,18.18,65472.0
910,18.2,65488.0
911,18.22,68.0
912,18.24,61.0
913,18.26,60.0
914,18.28,65472.0
915,18.3,65480.0
916,18.32,65.0
917,18.34,61.0
918,18.36,60.0
919,18.38,65472.0
920,18.4,65472.0
921,18.42,66.0
922,18.44,60.0
923,18.46,60.0
924,18.48,65480.0
925,18.5,65472.0
926,18.52,67.0
927,18.54,63.0
928,18.56,61.0
929,18.58,65480.0
930,18.6,65480.0
931,18.62,66.0
932,18.64,62.0
933,18.66,59.0
934,18.68,65476.0
935,18.7,65472.0
936,18.72,65.0
937,18.74,62.0
938,18.76,60.0
939,18.78,65484.0
940,18.8,65472.0
941,18.82,64.0
942,18.84,62.0
943,18.86,61.0
944,18.88,65472.0
945,18.9,65472.0
946,18.92,65.0
947,18.94,63.0
948,18.96,61.0
949,18.98,65472.0
950,19.0,65472.0
951,19.02,66.0
952,19.04,63.0
953,19.06,60.0
954,19.08,65472.0
955,19.1,65472.0
956,19.12,67.0
957,19.14,63.0
958,19.16,61.0
959,19.18,65472.0
960,19.2,65480.0
961,19.22,67.0
962,19.24,62.0
963,19.26,60.0
964,19.28,65472.0
965,19.3,65476.0
966,19.32,67.0
967,19.34,62.0
968,19.36,61.0
969,19.38,65472.0
970,19.4,65480.0
971,19.42,66.0
972,19.44,63.0
973,19.46,60.0
974,19.48,65472.0
975,19.5,65472.0
976,19.52,65.0
977,19.54,64.0
978,19.56,61.0
979,19.58,65480.0
980,19.6,65476.0
981,19.62,67.0
982,19.64,60.0
983,19.66,60.0
984,19.68,65484.0
985,19.7,65480.0
986,19.72,62.0
987,19.74,62.0
988,19.76,60.0
989,19.78,65472.0
990,19.8,65472.0
991,19.82,63.0
992,19.84,62.0
993,19.86,62.0
994,19.88,65472.0
995,19.9,65484.0
996,19.92,65456.0
997,19.94,60.0
998,19.96,65472.0
999,19.98,65472.0
1000,20.0,65484.0
1001,20.02,67.0
1002,20.04,62.0
1003,20.06,59.0
1004,20.08,65476.0
1005,20.1,65472.0
1006,20.12,67.0
1007,20.14,60.0
1008,20.16,65472.0
1009,20.18,65480.0
1010,20.2,65480.0
1011,20.22,67.0
1012,20.24,61.0
1013,20.26,61.0
1014,20.28,65472.0
1015,20.3,65488.0
1016,20.32,67.0
1017,20.34,62.0
1018,20.36,60.0
1019,20.38,65480.0
1020,20.4,65484.0
1021,20.42,67.0
1022,20.44,62.0
1023,20.46,60.0
1024,20.48,65472.0
1025,20.5,65480.0
1026,20.52,66.0
1027,20.54,61.0
1028,20.56,61.0
1029,20.58,65480.0
1030,20.6,65488.0
1031,20.62,68.0
